caller	provider	method	path_template	interface	method_name	body_type	return_type	resolved_by	claim
fiat	front50	GET	v2/applications	Front50Api	getAllApplications	-	Call<List<Application>>	services.front50.base-url (ResourcesConfig.front50Api)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/Front50Api.java:34
fiat	front50	GET	v2/applications?restricted=false	Front50Api	getAllApplications	-	Call<List<Application>>	services.front50.base-url (ResourcesConfig.front50Api)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/Front50Api.java:38
fiat	front50	GET	serviceAccounts	Front50Api	getAllServiceAccounts	-	Call<List<ServiceAccount>>	services.front50.base-url (ResourcesConfig.front50Api)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/Front50Api.java:41
fiat	igor	GET	buildServices	IgorApi	getBuildMasters	-	Call<List<BuildService>>	services.igor.base-url (ResourcesConfig.igorApi)	fiat@v1.57.0 fiat-roles/src/main/java/com/netflix/spinnaker/fiat/providers/internal/IgorApi.java:26
rosco	clouddriver	PUT	/artifacts/fetch/	ClouddriverService	fetchArtifact	Artifact	Call<ResponseBody>	services.clouddriver.base-url (ServiceConfig.clouddriverService)	rosco@v1.26.0 rosco-core/src/main/groovy/com/netflix/spinnaker/rosco/services/ClouddriverService.java:30
rosco	clouddriver	GET	/aws/images/find	ClouddriverService	findAmazonImageByName	-	Call<List<AWSNamedImage>>	services.clouddriver.base-url (ServiceConfig.clouddriverService)	rosco@v1.26.0 rosco-core/src/main/groovy/com/netflix/spinnaker/rosco/services/ClouddriverService.java:33
keel	clouddriver	GET	/securityGroups/{account}/{type}/{region}/{securityGroupName}	CloudDriverService	getSecurityGroup	-	SecurityGroupModel	clouddriver.base-url (ClouddriverConfiguration.clouddriverEndpoint)	keel@v1.4.1 keel-clouddriver/src/main/kotlin/com/netflix/spinnaker/keel/clouddriver/CloudDriverService.kt:42
keel	clouddriver	GET	/securityGroups/{account}/{provider}/{region}/{id}?getById=true	CloudDriverService	getSecurityGroupSummaryById	-	SecurityGroupSummary	clouddriver.base-url (ClouddriverConfiguration.clouddriverEndpoint)	keel@v1.4.1 keel-clouddriver/src/main/kotlin/com/netflix/spinnaker/keel/clouddriver/CloudDriverService.kt:52
keel	clouddriver	GET	/securityGroups/{account}/{provider}/{region}/{name}	CloudDriverService	getSecurityGroupSummaryByName	-	SecurityGroupSummary	clouddriver.base-url (ClouddriverConfiguration.clouddriverEndpoint)	keel@v1.4.1 keel-clouddriver/src/main/kotlin/com/netflix/spinnaker/keel/clouddriver/CloudDriverService.kt:61
keel	clouddriver	GET	/networks/{cloudProvider}	CloudDriverService	listNetworks	-	Set<Network>	clouddriver.base-url (ClouddriverConfiguration.clouddriverEndpoint)	keel@v1.4.1 keel-clouddriver/src/main/kotlin/com/netflix/spinnaker/keel/clouddriver/CloudDriverService.kt:70
keel	clouddriver	GET	/subnets/{cloudProvider}	CloudDriverService	listSubnets	-	Set<Subnet>	clouddriver.base-url (ClouddriverConfiguration.clouddriverEndpoint)	keel@v1.4.1 keel-clouddriver/src/main/kotlin/com/netflix/spinnaker/keel/clouddriver/CloudDriverService.kt:76
